"","MEyellow","MEgreen","MEpurple","MEgrey60","MElightgreen","MEturquoise","MEblue","MEcyan","MEmidnightblue","MEbrown","MEred","MEtan","MEgreenyellow","MElightyellow","MEsalmon","MEpink","MEblack","MElightcyan","MEmagenta","MEgrey"
"SRR18707692",-0.0432422160620791,0.0995092854989693,-0.102392653142037,-0.186832468551065,-0.122841688953573,0.121280844005382,0.102601368201102,0.206975873826103,-0.0764033552971115,0.0321903842520686,0.00426840251093727,0.0264425385995481,-0.0430482204136061,-0.133452993873675,-0.0282255188110118,0.133932713877377,0.00540535064723657,0.168528749990305,0.170635146036862,0.0796893380267136
"SRR18707695",0.187335216445391,0.24738295439506,0.161107949358233,-0.187016680004436,0.0339099682400319,-0.0896409318191255,0.0418010078809613,0.132888498380423,-0.0365775350212511,-0.0613939539996419,0.0212379822655095,0.00087537459106346,-0.00424257399657202,0.286554118191522,-0.0503762792068594,-0.0234763944407427,-0.0412796313649608,0.1651757435542,0.156822948986311,-0.00533924816261061
"SRR18707696",-0.101812741428586,-0.0618093672400397,-0.225313453726802,-0.173867345987622,-0.143351591086169,0.0953396917923489,0.0242078768297561,-0.247906018845253,0.256967629392913,-0.00373217128661518,0.0168146896437857,0.117090911205868,-0.0491163517218355,-0.209075179820334,-0.000974217221037077,0.0315643081565729,-0.0573756516386805,0.136362085601425,0.147991492461781,-0.311512177887107
"SRR18707697",0.00557534994355918,-0.13098850353021,0.0924556797193342,0.049110726261505,0.105149083551363,-0.206757849185822,-0.225820056959697,-0.0806799374938745,-0.0938791704927814,0.111420536457544,0.0147931198743283,-0.0220981918525358,0.0974266110641756,-0.229818804943388,-0.0957549152349277,0.136744839147763,0.0120719228343245,-0.117717861158472,-0.105591653448658,0.26562392688562
"SRR18707698",0.0595075894480118,0.0900396191330632,0.140426926076167,-0.178159059817671,-0.182320952684923,-0.269852835497362,-0.100310401141308,-0.283543438101609,0.0880617375037201,-0.1871967847314,-0.0816399068238466,-0.0542361912131992,-0.124638912055605,-0.0785387682076329,-0.0562373656200872,0.0714605979659055,-0.0309894607888914,0.115078085720077,0.126578574726388,-0.196286397963515
"SRR18707701",0.0792803432016521,0.190041605602031,0.185646249964446,0.0743454883773252,0.0301462087280186,-0.119538846019899,0.0327343384458213,0.0838026683772522,-0.0341562990600028,-0.118227611587507,-0.019296172576004,-0.148361435576391,0.00905303485973967,0.163661030756788,-0.0346594984848006,-0.0699836560698455,-0.0532780892454912,0.179539117745858,-0.129865849018302,-0.0364219364432407
"SRR18707702",0.0713522672590328,-0.0523532777303649,-0.0680880966074444,0.0516355733893636,0.144678976787192,0.0447845284073671,-0.0102599822978317,-0.00994034973261396,0.0257309978923426,0.0722737813217939,-0.0465879682771943,0.0414380965357264,-0.2113531376232,-0.280472924801553,-0.0373041722628582,0.176567080783372,-0.0235717023658946,-0.136428832909029,-0.0927643391463155,0.256425265298498
"SRR18707703",0.234793323533105,0.181159920032732,-0.00411327485283875,0.0529198371206754,0.310420448581332,0.116066979617196,0.282340178834315,0.199746970778743,-0.0372686536341693,-0.260770691273562,-0.144466412809164,-0.14870547242526,-0.0368142897753996,-0.0829410161421788,0.0249715184744702,0.122792006754734,-0.0522740341539916,-0.0890366941375984,-0.0747991827865852,-0.0238839937516146
"SRR18707704",0.0763972409961357,0.20263795225273,0.118521568493862,0.0679485443896881,0.29195685301102,0.0636869322726614,0.272773470735855,0.227012642326613,-0.190883658338221,-0.313813506041046,-0.199857014886742,-0.178961929942577,-0.0718446510521875,0.0260396867059558,0.0322620168495263,-0.110878379136159,-0.032965283346376,-0.154206956315046,-0.109511899281145,0.0758911701419583
"SRR18707706",-0.0262709091860537,-0.151902522166702,-0.150650822313625,-0.0372116337020438,-0.0185806151838158,-0.110198637917403,-0.166129058276307,0.0159243208499497,0.0636369359416665,0.0849566592596287,0.057200767658023,0.38723801071391,-0.119849186525568,0.000774409265416296,-0.000382828167502818,-0.0654870967583756,0.03097546420572,0.095097604972019,0.10602393306359,0.139704568810447
"SRR18707707",0.0610760546625066,-0.0456871403266653,0.0410247148246103,0.069834782403807,0.0523864001150424,0.129743190685687,0.0853423974557485,0.0389236007772824,-0.0442217700656175,0.0232418891927736,-0.0260427279876378,-0.0130203937452632,0.0681436560543683,0.0482637734708833,-0.0244227104338104,-0.216001231126533,-0.0857871190079029,-0.170199153185153,-0.0797745631711738,-0.298432508737051
"SRR18707708",-0.0307483060181023,-0.134919584207227,0.0946386021298398,0.0747764610908373,-0.0913780262636079,-0.195805930875631,-0.249154246216943,-0.362822564667945,0.156188903628884,0.131233162673954,0.165270813678258,0.16444117801084,0.045175534058049,0.0223599088566294,-0.0918500921219358,-0.0758990066265144,-0.0695328869626058,-0.144053210845235,-0.0992931542646918,-0.282278205228352
"SRR18707709",-0.278680958773324,-0.169021156850756,-0.1249882866299,0.102243262513855,-0.0442258615651465,0.183346788001711,0.0309371848384302,-0.142972384865903,0.0177880598254008,0.120261688338148,0.119283065417663,0.103399554911842,0.286347963951118,0.0333020211767116,0.0183358330814022,-0.0918371264788956,-0.0983266139839994,-0.144769337084219,-0.0875265705426595,-0.0817899789396126
"SRR18707711",-0.399867417628221,-0.268402775040485,-0.130235929711908,0.096795815831778,-0.167089874444669,0.200823987148936,-0.0246463700717154,-0.0646658275998526,-0.0450989396963479,0.187136109224994,0.0649268729382213,0.109562835132221,-0.0648019350117202,-0.167441806106605,-0.0749498329735491,-0.0628958510804762,0.516382181351315,0.147200775060223,0.290743121286947,-0.0881627424777463
"SRR18707713",0.0619619845730591,0.0157965170788218,-0.0943331849084253,-0.400982205764736,-0.0599242095891555,0.0752782899019044,0.0857915991223212,0.184783665045835,-0.0458945329621594,-0.00677707702975869,-0.141565894427929,-0.0962273137034692,-0.211360677502039,-0.196717800118481,-0.0264329005044006,-0.016161763451997,-0.0865537807229894,0.168294963710306,0.269435792395732,-0.0545144055275508
"SRR18707714",0.0851789836028075,0.0808726370532739,-0.0241351002371269,-0.124145534332684,-0.193273810266132,-0.037362851363608,-0.0103552448507466,0.0580926823106029,0.0465737567851645,0.0336540425622507,0.0317017228865706,0.0103280123208305,-0.0886720444129538,-0.115312890705079,0.0158292456999647,0.296793329538917,0.0214416572121663,0.129434051845563,0.100680786534621,0.0796398158534365
"SRR18707716",-0.115860584324755,0.017713029664221,0.0327126649036693,0.0468401727495504,-0.084442426907809,0.030936388772194,0.068542596441327,0.104996189586892,-0.0371915002564559,-0.0198609494163442,-0.100775166390111,0.00516818731685036,0.0693620913925169,0.0775063643107017,0.0329439147002445,-0.198655801960367,-0.0968268648323262,-0.0735951811038232,-0.0591978669979824,-0.242347926111038
"SRR18707717",-0.114576985419254,-0.150098985055297,-0.0161968554002486,0.0950611548661142,-0.028419921341779,0.0287183117188437,-0.142117961619492,0.048871569232396,-0.0206938088180475,0.168177024538095,0.151357590482146,0.132810426844738,0.0371506752871969,0.158212504260682,-0.0711086635978555,0.0915628674916093,-0.0339794747299802,-0.15715760586172,-0.116108391017602,0.103365004745509
"SRR18707721",-0.0371923117601137,0.148849034808236,0.0377479968114557,-0.380846382584365,-0.088611322559866,0.103545435437496,0.175994542463353,0.129976929559747,-0.0230148615451173,-0.120051036629411,-0.0402921936932951,-0.109907795272172,-0.0971396424910323,-0.079345078451291,-0.0244423265664545,0.157606614243225,-0.0739956488409182,0.167343375041718,0.265721717652503,-0.0292588031159447
"SRR18707722",0.171024895339426,0.121464291289787,0.11836572879559,-0.136559621385925,-0.0139015610684491,0.0339144437889843,0.157698783714771,0.115126764550783,-0.171876198357138,-0.115376674498954,-0.129675110872229,-0.148370724402293,0.00507117925638413,0.0316640474876188,-0.0113263202345665,0.144716859864448,-0.0122813829531369,0.114164677110059,0.102572722800473,0.0260724685319614
"SRR18707723",0.135034804858341,0.136126626075479,-0.0208096100668032,0.0776108170822699,0.255048798217219,0.113324757294467,0.167147878039487,0.167202168637179,0.00679176831376299,-0.0353496539148261,0.0109316307177211,-0.0135272619966324,0.154599576943237,-0.0799390556710461,-0.0295760703107166,0.00483711859010072,0.00925799289305881,-0.151687766022191,-0.11696674934968,0.181427177826695
"SRR18707726",0.207362508977282,0.0781769409699272,0.0556207754751943,0.0556959852594317,0.147411153692543,0.0894061497969946,0.164729870522237,0.078169522141863,-0.0539303689725217,-0.0752822780906082,-0.0964452793607768,-0.0634053847727178,-0.0232002635708154,0.0779745377098884,-0.0307734176205786,-0.0474063038342165,-0.0434298048451607,-0.105262778867412,-0.0830033070595389,0.0618143487094058
"SRR18707728",0.126359136662411,0.0172449067728218,0.0116387740737809,0.0900709305351879,0.145286203699782,0.111060345759705,0.0345512301878779,0.00724274544698306,0.0400032829631744,0.076360638456043,0.123350755885453,-0.00602277657121093,0.286203505230249,0.177589486363663,-0.0674639733620881,0.0971690172799076,-0.049715555672111,0.210185136212983,-0.125410569397567,0.033856532601934
"SRR18707729",-0.100624975975182,-0.310670958405471,-0.457151637567305,-0.099187190508385,-0.353178481710724,-0.0967465108936178,-0.362642683617167,-0.20392585746465,0.361929060819634,0.180644911097121,0.221240562487477,0.441583048218764,-0.028708949658238,0.0837093437063662,0.570348392550194,0.181945850301953,0.024872227966114,0.12834364475977,0.13458130127694,0.0156400023504709
"SRR18707731",-0.208371076584423,0.127627561940491,0.0999550223345949,0.04444361361044,-0.174462938061325,0.0215531757793275,0.223141841627301,-0.156721902668066,-0.0108356542907186,-0.391135809509751,-0.228657889432449,-0.169137647172813,-0.126864837591919,-0.197087861122279,0.265573333240231,-0.225183827779189,-0.105691678498148,-0.100884169743995,-0.069187382403759,-0.326104185639743
"SRR18707733",0.0409491764210061,0.227696847317865,0.094282510506877,0.0578952778660838,-0.132589494563566,-0.0957255697679382,0.106597686318277,0.0654990706334294,0.0780682511772532,-0.193931266384459,-0.0962832626280542,-0.16259614084313,0.134913614155035,-0.190814141438649,0.0457352324209402,0.137442932772368,0.439938471263967,0.127899154824417,0.223910355276191,0.0941485224685763
"SRR18707734",-0.0589251049232881,-0.0240549872080292,-0.109241530346246,0.0497573788266548,0.0994285271864061,0.180518192796534,0.0993232192938207,0.00211846123174489,0.0642889736626271,0.0408523955354813,0.0605012508654294,0.0490661564764407,-0.0164208090588784,0.147648193071282,-0.0459808003146503,-0.165723655387878,-0.0765596204084324,-0.166529597399145,-0.122248681339665,0.0868911808894288
"SRR18707735",0.00587274493722611,-0.0566257005419459,0.0356405972041312,0.0650107926324268,0.257994759783272,0.0439609074202392,0.0617274112563125,0.163134355421354,-0.229761064997526,-0.0329118260867694,-0.157468295579883,-0.113359709595884,-0.229641419603173,-0.19533937371399,-0.0918088870152371,0.0621310586073581,-0.0345953316835769,-0.143478414426171,-0.0973887166164148,0.17172083316099
"SRR18707738",-0.264089145664353,0.00533091059559039,-0.0134686053568963,0.0612396829549465,-0.157163408164808,-0.111419103024116,-0.0544953270220501,0.0259048769927024,0.0940337656429135,-0.0865357573407338,-0.041653407421373,0.153295751290137,-0.134293238758112,-0.0492585396472238,0.119861599988328,-0.0271387422778054,-0.0845980036672839,-0.0761255062704611,-0.072172419792905,-0.216039714885
"SRR18707740",-0.252750446054844,-0.174135911405235,-0.152452289021294,0.0990939268560841,0.133615183729811,0.0777216330636814,-0.145305216835809,-0.151210379640168,0.198135022167122,0.227672134454844,0.296025305713145,0.156102074029308,0.210479443814312,0.223027585877136,-0.00533798721891281,-0.101439736403057,-0.0655926912600235,-0.161524158444652,-0.137817922023037,-0.0081207355626438
"SRR18707741",0.114510963036526,0.00407357119527825,0.18319957551406,0.0927625180853607,-0.0415903373808719,-0.0673127474341566,-0.133806104119236,-0.0773370479330455,-0.0277466327981306,0.0855509001654374,0.158206469630405,0.0577466303101045,-0.0128507865888121,0.0928290955497242,-0.0390371748733574,0.274754582319703,-0.0301020961577925,-0.139295404753575,-0.112557436460674,0.077179264977266
"SRR18707742",0.0241167306413622,0.127797110740141,0.0381228272919295,-0.392178611721814,-0.117353760779374,0.0802098235195974,0.139510043378225,0.062306384153953,-0.0512587440559528,-0.0538328658633819,-0.0788845029602211,-0.18171813988279,-0.129460659343029,-0.241345060256751,-0.0687941951297002,-0.0581391625563651,-0.0747306284971772,0.173249810034435,0.270255984724555,0.0153090627927105
"SRR18707743",-0.127048662097986,0.0308429387774596,-0.115361388054788,0.083983653428388,0.0276609669999726,0.192793762261607,0.166225764929287,0.164267809533252,0.0288104319628245,-0.0555400956254613,-0.00441477871389248,0.0107960636878665,-0.0133772360257105,-0.0285263007095021,0.197353711756307,-0.00250181720324523,0.438643041769229,0.117627179304058,0.248784522165976,-0.0122311574489017
"SRR18707747",-0.120033549765646,-0.0230869446700071,0.0517155912891464,0.0658661875531175,-0.0964755468988299,-0.0215286705381495,-0.0149885197666364,-0.0554710867699519,0.0636908068123417,0.0176621048245463,-0.054638692706627,-0.0879945504991528,-0.188796885521909,0.00411868483002969,-0.0811727142003753,-0.0203173198826631,0.465052238777788,0.134575098632725,0.250073196628214,0.015169277272597
"SRR18707749",-0.0442625282432618,0.017576337454566,-0.0136981111501617,0.0894564184586241,-0.0562398821951231,0.0488686270981019,-0.106100746552245,-0.0727516432052316,0.225653887363196,0.117373641980745,0.298122995902373,0.163752044093217,0.0642433463618777,0.209980444368858,0.0376427174547522,0.300853978917303,-0.0114456212676141,-0.123295425502583,-0.101361024874882,0.0641772623902569
"SRR18707751",0.15505641026744,0.0160267868546286,0.192115437661161,0.0301077839186555,-0.00775694674835264,-0.295633414474673,-0.0692115706362714,0.148337164380589,-0.363800026246943,-0.127991069593675,-0.291815083581066,-0.305998348930724,-0.152023216105959,0.0616491782031619,-0.123126943646537,-0.181477122951753,-0.0339849916691283,-0.0906841922409168,-0.083770264057057,0.125069041409024
"SRR18707752",-0.0759981136446114,-0.0458877112014215,0.0275948718845223,0.0771467544422366,0.101017171626331,0.0335398640848759,0.134539402745439,0.1636897682414,-0.270456154989274,-0.250518119985734,-0.190573106859059,-0.115373108367721,0.0244226259920915,0.063064942457977,0.629322956328568,-0.113713495020094,-0.0474541295511462,-0.136208621098438,-0.062442789842137,0.00109653024791056
"SRR18707753",-0.0285462164696586,-0.318210998414486,-0.340663601183754,0.0727558019120936,-0.0633437857860782,-0.00503520542250776,-0.252524850997839,-0.259452479227361,0.167496740677795,0.271743430486824,0.0405854880241934,0.0873949314055798,-0.120026610920778,-0.0888176198110165,-0.0607084678279564,-0.0814057996172015,-0.0158493118869942,-0.0828865202865688,-0.0784012721193632,0.0209888876392084
"SRR18707756",0.130920938786473,0.0112903154636132,0.0918096236391,0.0388337052831034,-0.0959984209724074,-0.303142181113088,-0.160989581258574,-0.0391102280674407,-0.130987194872933,0.038058164970272,-0.186409435775348,-0.130130667758877,-0.224979941409119,-0.166758476048937,-0.0799428756000347,-0.123175961084929,-0.0392776452101846,-0.0717240790443547,-0.0687998613462298,-0.0480752966172725
"SRR18707757",0.0385907371428219,-0.106624941835337,-0.0806393396594783,0.0642781582058073,0.140310799052466,0.10209994427717,0.0256587652301681,0.0281644179098128,0.0571900047772851,0.0272873667481773,0.00452397698838604,0.107062460667817,0.113804136892704,0.126543942570448,-0.0463964350308878,-0.159093154736648,-0.0195750651751575,-0.0849202863080838,-0.0827923078423583,0.149033639718253
"SRR18707758",0.0763482923580007,-0.0949108533654709,0.284122629511728,0.0496972729238528,0.0792187992269559,-0.316064396651702,-0.206695633748358,-0.215504020881949,-0.193247175332854,-0.0108715230124852,-0.114015850371109,-0.1065202897718,-0.207087528739948,-0.110672960806506,-0.155972784829813,0.0936896964797627,-0.0283838506961224,-0.118694208368533,-0.100001552230499,0.138592551703339
"SRR18707763",0.167021716871229,0.174350320686616,0.153217401780352,0.0881394626618665,0.0323147100205255,-0.12123289295947,0.0176115109750966,-0.0662310604374464,-0.00393591132835595,-0.0659486220339764,-0.0269061200000102,-0.119336531166654,0.26117652578921,0.0187757567886856,-0.0728527380384333,-0.0999369643135001,-0.00942169568949202,0.111630800128835,-0.0282563229381367,0.0661180475257232
"SRR18707767",-0.0780747289853665,0.0920952321200605,0.0607221389802496,0.0884626491551765,0.0681385289317107,-0.044793802294094,-0.0181799264679041,-0.0372880108259967,0.139923243250329,-0.0485058634397607,0.173173109840422,0.0806448129849481,0.189328282828065,0.0815052035838835,-0.0432744476198266,-0.0631964784156365,-0.0529613063759666,0.202710926392808,-0.143698864156316,-0.0583462339754725
"SRR18707769",-0.267725738888825,-0.245808068954858,-0.295087674349618,0.0817703761966374,0.0992547237253737,0.248281532776649,-0.0634105828949316,-0.115812972667844,0.0710167335320301,0.267975323330037,0.261496401563116,0.182835467686269,0.0989763801207353,0.111708974120464,-0.0226910594556636,-0.0444694458511543,-0.0770091426247835,-0.180666677545736,-0.129021081007736,-0.0123383127726673
"SRR18707770",0.0175786716931795,0.0414764132936291,-0.0645058398440055,-0.397025360710076,-0.267334282445355,-0.00903783981042448,-0.151598619668628,-0.146664294868466,0.341565658536269,0.168035545707478,0.335407467714019,0.0662994017692761,0.0612617008828113,0.0959610097957414,0.000352827010863224,0.3496448495766,-0.0345894233325301,0.186422374347554,0.259201449639855,-0.00748565817255935
"SRR18707772",0.0895087387029789,0.0255603442754373,-0.030979562350761,0.108712656142916,0.158857714152358,0.138809682494715,0.0640013499510284,0.109530166252596,-0.0928096864028276,0.0807255832776353,0.0812268672776533,-0.00734224283726189,0.329431289299466,0.176720845528702,-0.0791118225155613,-0.0949929700285474,-0.00535319552708411,0.116339720435498,-0.0190982980406659,0.107299214744304
"SRR18707773",0.0167147658187348,-0.104778823427649,-0.0768391555882352,0.0909330794398747,0.106554386092514,0.150585787149976,0.00355729686607591,0.146856077946404,-0.0889149799160443,0.131210457315448,0.0693670417487366,0.0868102826669495,0.148730672092591,0.182069737778596,-0.0429176370720347,-0.00298376243999738,-0.0517888438904266,0.219705706698301,-0.111836425042016,-0.0330846487008717
"SRR18707774",-0.0416075509628687,-0.128559384738912,0.056250879526343,0.050305577998942,-0.0217380865323077,-0.207832341288418,-0.168956758902262,-0.094414317428347,-0.206777903621491,0.0175595565943846,-0.165100467618062,-0.0219010906191116,0.0212524060853667,-0.115963633907265,-0.0836063564954911,-0.0362310296171436,-0.0324922986820194,-0.126873858673253,-0.105761655638255,0.155372361289004
"SRR18707777",0.250434375847636,0.284880068462599,0.197468494340683,0.0846068830912224,-0.08611626654843,-0.20407196254055,0.000613632267210777,-0.0498831536428763,0.0370378393699945,-0.126745269090935,-0.0227481056875659,-0.180232495023009,0.142914444117874,0.152415044288069,-0.0389947371244241,-0.0329804421019429,0.0058358300757979,0.106530762077657,-0.0450814823772461,0.0421727017477555
"SRR18707778",0.126446306833467,-0.015101483488558,0.0552207699786413,0.0538629315549239,0.0889431355514074,0.0685345237674027,0.0679971953703463,0.0547636125100052,-0.0489617106286486,0.0490430437010709,-0.0948015042743244,-0.0376984175274656,-0.128854691051054,0.102010415227797,-0.052544132811854,-0.253426804036107,-0.0962568217902161,-0.173533046604428,-0.0725031900256844,-0.277433731638484
